player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Rémy Cabella,FRA,"FW,MF",Montpellier,Ligue 1,21,29,1440,3,2,2011-2012,True,0.3125
Gustavo Cabral,ARG,DF,Levante,La Liga,25,16,1366,1,0,2011-2012,False,0.0659
Cacau,GER,FW,Stuttgart,Bundesliga,30,33,2057,8,1,2011-2012,True,0.3938
Martín Cáceres,URU,DF,Sevilla,La Liga,24,14,1171,1,0,2011-2012,False,0.0769
Martín Cáceres,URU,DF,Juventus,Serie A,24,11,715,1,0,2011-2012,False,0.1259
Pablo Cáceres,URU,DF,Mallorca,La Liga,26,28,2386,0,1,2011-2012,True,0.0377
Raphaël Cacérès,FRA,"DF,FW",Dijon,Ligue 1,23,2,85,0,0,2011-2012,False,0.0
Liassine Cadamuro,ALG,DF,Real Sociedad,La Liga,23,19,1232,0,0,2011-2012,False,0.0
Gary Cahill,ENG,DF,Bolton Wanderers,Premier League,25,19,1638,2,0,2011-2012,False,0.1099
Gary Cahill,ENG,DF,Chelsea,Premier League,25,10,856,1,0,2011-2012,False,0.1051
Tim Cahill,AUS,"FW,MF",Everton,Premier League,31,35,2346,2,2,2011-2012,True,0.1535
Cala,ESP,DF,Sevilla,La Liga,21,8,613,1,0,2011-2012,False,0.1468
Emanuele Calaiò,ITA,FW,Siena,Serie A,29,25,2004,11,1,2011-2012,True,0.5389
Luca Calapai,ITA,DF,Catania,Serie A,18,1,12,0,0,2011-2012,False,0.0
Juan Calatayud,ESP,GK,Mallorca,La Liga,31,3,143,0,0,2011-2012,False,0.0
Gary Caldwell,SCO,"DF,MF",Wigan Athletic,Premier League,29,36,3226,3,0,2011-2012,False,0.0837
Hrvoje Čale,CRO,DF,Wolfsburg,Bundesliga,26,1,26,0,0,2011-2012,False,0.0
Daniel Caligiuri,ITA,"DF,MF",Freiburg,Bundesliga,23,25,1691,6,4,2011-2012,True,0.5322
Marco Caligiuri,GER,"DF,MF",Mainz 05,Bundesliga,27,30,2152,2,1,2011-2012,True,0.1255
Javier Calleja,ESP,MF,Osasuna,La Liga,33,6,199,0,0,2011-2012,False,0.0
José Callejón,ESP,"FW,MF",Real Madrid,La Liga,24,25,711,5,0,2011-2012,False,0.6329
Jan-Ingwer Callsen-Bracker,GER,DF,Augsburg,Bundesliga,26,30,2314,4,0,2011-2012,False,0.1556
Jean Calvé,FRA,DF,Nancy,Ligue 1,27,8,596,1,2,2011-2012,True,0.453
Ezequiel Calvente,ESP,"FW,MF",Real Betis,La Liga,20,4,109,0,0,2011-2012,False,0.0
Ignacio Camacho,ESP,MF,Málaga,La Liga,21,13,816,1,0,2011-2012,False,0.1103
Abdoul Camara,GUI,"FW,MF",Rennes,Ligue 1,21,2,59,0,0,2011-2012,False,0.0
Abdoul Camara,GUI,"FW,MF",Sochaux,Ligue 1,21,21,874,1,0,2011-2012,False,0.103
